TIME;APPARENT TEMPERATURE;SNOWFALL
2022-12-25T00:00;6.8;false
2022-12-25T01:00;6.5;false
2022-12-25T02:00;6.3;false
2022-12-25T03:00;5.9;false
2022-12-25T04:00;5.7;false
2022-12-25T05:00;5.6;false
2022-12-25T06:00;5;false
2022-12-25T07:00;5;false
2022-12-25T08:00;6.5;false
2022-12-25T09:00;9.2;false
2022-12-25T10:00;11;false
2022-12-25T11:00;12;false
2022-12-25T12:00;12.7;false
2022-12-25T13:00;12.9;false
2022-12-25T14:00;12.4;false
2022-12-25T15:00;11;false
2022-12-25T16:00;9.5;false
2022-12-25T17:00;8.6;false
2022-12-25T18:00;7.7;false
2022-12-25T19:00;6.9;false
2022-12-25T20:00;6.1;false
2022-12-25T21:00;5.8;false
2022-12-25T22:00;5.5;false
2022-12-25T23:00;5.1;false
2022-12-26T00:00;4.7;false
2022-12-26T01:00;4.5;false
2022-12-26T02:00;4.5;false
2022-12-26T03:00;4.4;false
2022-12-26T04:00;4.4;false
2022-12-26T05:00;4.5;false
2022-12-26T06:00;4.6;false
2022-12-26T07:00;-4.9;false
2022-12-26T08:00;-6.2;false
2022-12-26T09:00;9;false
2022-12-26T10:00;11.7;false
2022-12-26T11:00;13.4;false
2022-12-26T12:00;-14.5;false
2022-12-26T13:00;-14.8;false
2022-12-26T14:00;-14.2;false
2022-12-26T15:00;12.6;false
2022-12-26T16:00;10.9;false
2022-12-26T17:00;9.6;false
2022-12-26T18:00;8.5;false
2022-12-26T19:00;7.9;false
2022-12-26T20:00;7.6;false
2022-12-26T21:00;7.9;false
2022-12-26T22:00;8.6;false
2022-12-26T23:00;9.1;false
2022-12-27T00:00;9.7;false
2022-12-27T01:00;10.3;false
2022-12-27T02:00;10.8;false
2022-12-27T03:00;-11.3;false
2022-12-27T04:00;-11.6;false
2022-12-27T05:00;-10.1;false
2022-12-27T06:00;-9.7;false
2022-12-27T07:00;9.5;false
2022-12-27T08:00;9.5;false
2022-12-27T09:00;9.5;false
2022-12-27T10:00;10;false
2022-12-27T11:00;9.7;false
2022-12-27T12:00;9.8;false
2022-12-27T13:00;9.6;false
2022-12-27T14:00;9.4;false
2022-12-27T15:00;9;false
2022-12-27T16:00;8.7;false
2022-12-27T17:00;8.4;false
2022-12-27T18:00;8.1;false
2022-12-27T19:00;7.6;false
2022-12-27T20:00;7.2;false
2022-12-27T21:00;6.6;false
2022-12-27T22:00;6.1;false
2022-12-27T23:00;6;false
2022-12-28T00:00;5.4;false
2022-12-28T01:00;4.6;false
2022-12-28T02:00;4.3;false
2022-12-28T03:00;3.7;false
2022-12-28T04:00;3.4;false
2022-12-28T05:00;3.1;false
2022-12-28T06:00;2.7;false
2022-12-28T07:00;2.8;false
2022-12-28T08:00;3.9;false
2022-12-28T09:00;5.8;false
2022-12-28T10:00;7.5;false
2022-12-28T11:00;8.7;false
2022-12-28T12:00;9.3;false
2022-12-28T13:00;9.4;false
2022-12-28T14:00;9.2;false
2022-12-28T15:00;8.7;false
2022-12-28T16:00;8.3;false
2022-12-28T17:00;7.9;false
2022-12-28T18:00;7.4;false
2022-12-28T19:00;7.1;false
2022-12-28T20:00;6.7;false
2022-12-28T21:00;6.3;false
2022-12-28T22:00;5.9;false
